System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
14:32:16:970, 12479832719921,    0.101,   13.000, 2300,   3.723,   0.376,   0.104,   2.151,   0.217,   0.060, 47,  0,   1.021,   0.103,   0.029,   0.066,   0.007,   0.002,  15.000,  25.000,   0.000,  90.000,  90.000,    9,   0.702
14:32:17:082, 12480111912544,    0.217,   32.000, 2700,   2.888,   0.712,   0.198,   1.469,   0.388,   0.108, 47,  0,   0.895,   0.207,   0.058,   0.089,   0.017,   0.005,  15.000,  25.000,   0.000,  90.000,  90.000,   12,   1.236
14:32:17:184, 12480346775524,    0.315,   12.000,  800,   2.526,   0.959,   0.266,   1.045,   0.490,   0.136, 46,  0,   0.944,   0.300,   0.083,   0.052,   0.022,   0.006,  15.000,  25.000,   0.000,  90.000,  90.000,   21,   0.313
14:32:17:298, 12480619962123,    0.429,   49.000,  800,   2.719,   1.269,   0.352,   1.098,   0.615,   0.171, 46,  0,   0.987,   0.412,   0.114,   0.129,   0.037,   0.010,  15.000,  25.000,   0.000,  90.000,  90.000,   25,   0.000
14:32:17:421, 12480913033693,    0.551,   79.000, 2700,   8.655,   2.326,   0.646,   6.890,   1.457,   0.405, 53,  0,   1.512,   0.596,   0.166,   0.197,   0.061,   0.017,  15.000,  25.000,   0.000,  90.000,  90.000,    2,   0.000
14:32:17:531, 12481177238120,    0.661,   51.000, 2700,   8.725,   3.286,   0.913,   7.088,   2.237,   0.621, 52,  0,   1.534,   0.765,   0.213,   0.016,   0.063,   0.017,  15.000,  25.000,   0.000,  90.000,  90.000,    1,   0.000
14:32:17:637, 12481432799910,    0.768,   10.000, 2300,   4.157,   3.729,   1.036,   2.047,   2.455,   0.682, 48,  0,   0.964,   0.868,   0.241,   0.593,   0.126,   0.035,  15.000,  25.000,   0.000,  90.000,  90.000,    2,   0.000
14:32:17:755, 12481716773602,    0.886,    5.000, 2300,   3.157,   4.102,   1.139,   1.085,   2.583,   0.718, 47,  0,   0.866,   0.970,   0.270,   0.604,   0.197,   0.055,  15.000,  25.000,   0.000,  90.000,  90.000,    1,   0.000
14:32:17:853, 12481951598014,    0.984,   28.000, 2700,   6.101,   4.699,   1.305,   4.043,   2.979,   0.827, 49,  0,   0.994,   1.068,   0.297,   0.602,   0.256,   0.071,  15.000,  25.000,   0.000,  90.000,  90.000,    1,   0.000
14:32:17:972, 12482236582806,    1.103,   27.000, 2700,   6.687,   5.493,   1.526,   4.736,   3.541,   0.984, 49,  0,   0.846,   1.168,   0.324,   0.604,   0.328,   0.091,  15.000,  25.000,   0.000,  90.000,  90.000,    4,   0.253
