System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
15:16:48:094, 18890499788602,    0.123,   78.000, 2700,   9.872,   1.215,   0.338,   8.155,   1.004,   0.279, 55,  0,   1.737,   0.214,   0.059,   0.089,   0.011,   0.003,  15.000,  25.000,   0.000,  90.000,  90.000,   12,   1.090
15:16:48:202, 18890760116145,    0.232,   56.000, 2700,   9.183,   2.211,   0.614,   7.376,   1.804,   0.501, 54,  0,   1.709,   0.399,   0.111,   0.055,   0.017,   0.005,  15.000,  25.000,   0.000,  90.000,  90.000,    7,   0.296
15:16:48:312, 18891022899254,    0.341,   60.000, 2700,   8.903,   3.186,   0.885,   7.194,   2.592,   0.720, 54,  0,   1.664,   0.581,   0.162,   0.029,   0.020,   0.006,  15.000,  25.000,   0.000,  90.000,  90.000,    3,   0.091
15:16:48:448, 18891350419686,    0.478,   87.000, 2700,  10.260,   4.586,   1.274,   8.411,   3.740,   1.039, 57,  0,   1.840,   0.832,   0.231,   0.071,   0.030,   0.008,  15.000,  25.000,   0.000,  90.000,  90.000,    8,   1.102
15:16:48:531, 18891548530534,    0.560,   45.000, 2700,   8.463,   5.285,   1.468,   6.647,   4.288,   1.191, 55,  0,   1.719,   0.974,   0.271,   0.044,   0.033,   0.009,  15.000,  25.000,   0.000,  90.000,  90.000,    4,   0.278
15:16:48:641, 18891813219516,    0.670,   40.000, 2700,   7.825,   6.148,   1.708,   6.134,   4.965,   1.379, 53,  0,   1.504,   1.140,   0.317,   0.013,   0.035,   0.010,  15.000,  25.000,   0.000,  90.000,  90.000,    4,   0.000
15:16:48:743, 18892057999054,    0.772,   20.000, 2300,   5.507,   6.710,   1.864,   3.837,   5.356,   1.488, 50,  0,   1.220,   1.265,   0.351,   0.040,   0.039,   0.011,  15.000,  25.000,   0.000,  90.000,  90.000,    2,   0.000
15:16:48:858, 18892332415570,    0.887,    9.000, 2300,   2.641,   7.012,   1.948,   1.093,   5.481,   1.523, 47,  0,   1.011,   1.380,   0.383,   0.011,   0.040,   0.011,  15.000,  25.000,   0.000,  90.000,  90.000,    1,   0.000
15:16:48:957, 18892572394696,    0.987,   14.000,  800,   2.085,   7.220,   2.006,   0.748,   5.556,   1.543, 46,  0,   0.837,   1.464,   0.407,   0.013,   0.042,   0.012,  15.000,  25.000,   0.000,  90.000,  90.000,   28,   0.000
15:16:49:072, 18892847137891,    1.101,   21.000,  900,   3.324,   7.601,   2.111,   1.609,   5.740,   1.594, 47,  0,   0.970,   1.575,   0.437,   0.254,   0.071,   0.020,  15.000,  25.000,   0.000,  90.000,  90.000,   41,   0.212
