System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
23:07:10:287, 86623246830738,    0.108,   32.000, 2700,   6.327,   0.684,   0.190,   4.614,   0.499,   0.139, 52,  0,   1.248,   0.135,   0.037,   0.100,   0.011,   0.003,  15.000,  25.000,   0.000,  90.000,  90.000,   13,   1.335
23:07:10:399, 86623516132104,    0.220,   62.000, 2300,   8.437,   1.631,   0.453,   6.692,   1.250,   0.347, 52,  0,   1.475,   0.300,   0.083,   0.041,   0.016,   0.004,  15.000,  25.000,   0.000,  90.000,  90.000,    4,   0.164
23:07:10:531, 86623831302747,    0.352,    8.000, 2300,   2.899,   2.011,   0.559,   1.320,   1.423,   0.395, 49,  0,   0.990,   0.431,   0.120,   0.027,   0.019,   0.005,  15.000,  25.000,   0.000,  90.000,  90.000,    2,   0.062
23:07:10:642, 86624099195686,    0.463,   11.000, 2700,   2.978,   2.344,   0.651,   1.458,   1.586,   0.441, 48,  0,   0.980,   0.540,   0.150,   0.014,   0.021,   0.006,  15.000,  25.000,   0.000,  90.000,  90.000,    1,   0.000
23:07:10:752, 86624362991568,    0.573,   73.000, 2700,   8.573,   3.286,   0.913,   6.847,   2.338,   0.650, 53,  0,   1.658,   0.722,   0.201,   0.012,   0.022,   0.006,  15.000,  25.000,   0.000,  90.000,  90.000,    2,   0.000
23:07:10:866, 86624636966984,    0.687,   87.000, 2700,   9.942,   4.421,   1.228,   8.138,   3.267,   0.908, 54,  0,   1.794,   0.927,   0.257,   0.020,   0.024,   0.007,  15.000,  25.000,   0.000,  90.000,  90.000,    5,   0.000
23:07:10:982, 86624914608033,    0.803,   19.000, 1000,   3.451,   4.820,   1.339,   1.925,   3.490,   0.969, 49,  0,   0.949,   1.037,   0.288,   0.047,   0.030,   0.008,  15.000,  25.000,   0.000,  90.000,  90.000,   19,   0.004
23:07:11:096, 86625188823245,    0.917,   20.000, 1000,   2.699,   5.129,   1.425,   0.973,   3.601,   1.000, 48,  0,   0.989,   1.150,   0.319,   0.193,   0.052,   0.014,  15.000,  25.000,   0.000,  90.000,  90.000,   33,   0.290
23:07:11:212, 86625471065091,    1.035,   33.000, 2700,   4.540,   5.663,   1.573,   2.314,   3.873,   1.076, 49,  0,   0.966,   1.263,   0.351,   0.719,   0.136,   0.038,  15.000,  25.000,   0.000,  90.000,  90.000,   12,   1.444
23:07:11:306, 86625691543096,    1.127,   15.000, 1200,   3.238,   5.960,   1.656,   1.112,   3.975,   1.104, 47,  0,   0.872,   1.344,   0.373,   0.636,   0.195,   0.054,  15.000,  25.000,   0.000,  90.000,  90.000,   32,   0.210
