System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
20:58:37:811, 194239624598244,    0.117,   83.000, 2700,   9.537,   1.113,   0.309,   7.779,   0.908,   0.252, 52,  0,   1.650,   0.193,   0.053,   0.142,   0.017,   0.005,  15.000,  25.000,   0.000,  90.000,  90.000,99999999,   0.000
20:58:37:929, 194239909601636,    0.235,   55.000, 2700,   8.046,   2.068,   0.575,   6.435,   1.672,   0.464, 53,  0,   1.169,   0.331,   0.092,   0.212,   0.042,   0.012,  15.000,  25.000,   0.000,  90.000,  90.000,99999999,   0.000
20:58:38:055, 194240211987499,    0.361,   32.000,  900,   5.223,   2.726,   0.757,   3.624,   2.128,   0.591, 48,  0,   0.947,   0.451,   0.125,   0.217,   0.069,   0.019,  15.000,  25.000,   0.000,  90.000,  90.000,99999999,   0.000
20:58:38:223, 194240627573267,    0.535,   46.000, 2100,   2.406,   3.143,   0.873,   1.024,   2.306,   0.640, 48,  0,   0.857,   0.599,   0.166,   0.084,   0.084,   0.023,  15.000,  25.000,   0.000,  90.000,  90.000,99999999,   0.000
20:58:38:286, 194240766246615,    0.592,    6.000,  800,   1.937,   3.255,   0.904,   0.487,   2.334,   0.648, 46,  0,   0.808,   0.646,   0.179,   0.128,   0.091,   0.025,  15.000,  25.000,   0.000,  90.000,  90.000,99999999,   0.000
20:58:38:409, 194241060509733,    0.715,   12.000,  600,   1.769,   3.472,   0.964,   0.442,   2.388,   0.663, 45,  0,   0.851,   0.750,   0.208,   0.000,   0.091,   0.025,  15.000,  25.000,   0.000,  90.000,  90.000,99999999,   0.000
20:58:38:507, 194241296796935,    0.813,   51.000, 2700,   5.884,   4.051,   1.125,   4.348,   2.816,   0.782, 49,  0,   1.027,   0.851,   0.236,   0.219,   0.112,   0.031,  15.000,  25.000,   0.000,  90.000,  90.000,99999999,   0.000
20:58:38:625, 194241579277338,    0.931,    6.000,  600,   2.036,   4.291,   1.192,   0.644,   2.892,   0.803, 45,  0,   0.812,   0.947,   0.263,   0.059,   0.119,   0.033,  15.000,  25.000,   0.000,  90.000,  90.000,99999999,   0.000
20:58:38:733, 194241838620866,    1.039,    8.000,  500,   1.517,   4.455,   1.237,   0.238,   2.918,   0.810, 45,  0,   0.792,   1.032,   0.287,   0.000,   0.119,   0.033,  15.000,  25.000,   0.000,  90.000,  90.000,99999999,   0.000
20:58:38:832, 194242077444237,    1.139,   36.000, 1700,   2.161,   4.670,   1.297,   0.814,   2.999,   0.833, 45,  0,   0.896,   1.121,   0.311,   0.000,   0.119,   0.033,  15.000,  25.000,   0.000,  90.000,  90.000,99999999,   0.000
20:58:38:950, 194242359527081,    1.256,   68.000, 2700,   7.546,   5.557,   1.543,   5.979,   3.701,   1.028, 52,  0,   1.247,   1.268,   0.352,   0.129,   0.135,   0.037,  15.000,  25.000,   0.000,  90.000,  90.000,99999999,   0.000
20:58:39:060, 194242623363141,    1.366,   86.000, 2700,  10.407,   6.701,   1.861,   8.564,   4.643,   1.290, 53,  0,   1.577,   1.441,   0.400,   0.271,   0.164,   0.046,  15.000,  25.000,   0.000,  90.000,  90.000,99999999,   0.000
20:58:39:169, 194242888721511,    1.477,   99.000, 2700,  10.874,   7.903,   2.195,   8.559,   5.589,   1.552, 54,  0,   1.838,   1.644,   0.457,   0.633,   0.234,   0.065,  15.000,  25.000,   0.000,  90.000,  90.000,99999999,   0.000
20:58:39:281, 194243153405587,    1.587,   64.000, 2700,   9.470,   8.947,   2.485,   7.632,   6.431,   1.786, 52,  0,   1.517,   1.812,   0.503,   0.310,   0.269,   0.075,  15.000,  25.000,   0.000,  90.000,  90.000,99999999,   0.000
20:58:39:385, 194243403840030,    1.691,   27.000,  900,   5.675,   9.539,   2.650,   4.052,   6.853,   1.904, 49,  0,   1.135,   1.930,   0.536,   0.212,   0.291,   0.081,  15.000,  25.000,   0.000,  90.000,  90.000,99999999,   0.000
20:58:39:502, 194243684755238,    1.808,   13.000,  800,   1.863,   9.758,   2.710,   0.545,   6.917,   1.921, 46,  0,   0.822,   2.026,   0.563,   0.000,   0.291,   0.081,  15.000,  25.000,   0.000,  90.000,  90.000,99999999,   0.000
20:58:39:603, 194243926192591,    1.909,    6.000,  600,   1.533,   9.912,   2.753,   0.241,   6.942,   1.928, 46,  0,   0.794,   2.106,   0.585,   0.000,   0.291,   0.081,  15.000,  25.000,   0.000,  90.000,  90.000,99999999,   0.000
20:58:39:717, 194244199804345,    2.023,    8.000,  600,   1.545,  10.088,   2.802,   0.266,   6.972,   1.937, 45,  0,   0.790,   2.196,   0.610,   0.000,   0.291,   0.081,  15.000,  25.000,   0.000,  90.000,  90.000,99999999,   0.000
20:58:39:831, 194244472336242,    2.137,   26.000,  800,   1.853,  10.298,   2.861,   0.560,   7.035,   1.954, 45,  0,   0.848,   2.293,   0.637,   0.000,   0.291,   0.081,  15.000,  25.000,   0.000,  90.000,  90.000,99999999,   0.000
20:58:39:941, 194244736810855,    2.247,   24.000,  700,   2.364,  10.559,   2.933,   0.958,   7.141,   1.984, 45,  0,   0.922,   2.394,   0.665,   0.045,   0.296,   0.082,  15.000,  25.000,   0.000,  90.000,  90.000,99999999,   0.000
20:58:40:037, 194244968233438,    2.343,   12.000,  800,   1.679,  10.721,   2.978,   0.404,   7.180,   1.994, 45,  0,   0.810,   2.472,   0.687,   0.000,   0.296,   0.082,  15.000,  25.000,   0.000,  90.000,  90.000,99999999,   0.000
20:58:40:157, 194245256095355,    2.463,    6.000,  600,   1.727,  10.928,   3.035,   0.440,   7.233,   2.009, 45,  0,   0.806,   2.569,   0.714,   0.000,   0.296,   0.082,  15.000,  25.000,   0.000,  90.000,  90.000,99999999,   0.000
