System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
14:15:24:719, 10050450382733,    0.099,   12.000, 2700,   4.160,   0.413,   0.115,   2.499,   0.248,   0.069, 50,  0,   1.049,   0.104,   0.029,   0.054,   0.005,   0.001,  15.000,  25.000,   0.000,  90.000,  90.000,    6,   0.407
14:15:24:844, 10050748902448,    0.224,   19.000, 2700,   4.227,   0.939,   0.261,   2.611,   0.573,   0.159, 49,  0,   1.128,   0.244,   0.068,   0.043,   0.011,   0.003,  15.000,  25.000,   0.000,  90.000,  90.000,    5,   0.270
14:15:24:963, 10051035670108,    0.343,   42.000, 2700,   7.908,   1.884,   0.523,   6.134,   1.306,   0.363, 51,  0,   1.390,   0.411,   0.114,   0.086,   0.021,   0.006,  15.000,  25.000,   0.000,  90.000,  90.000,   10,   1.118
14:15:25:073, 10051298818309,    0.453,    8.000, 2300,   3.108,   2.225,   0.618,   1.597,   1.481,   0.411, 49,  0,   0.955,   0.515,   0.143,   0.021,   0.023,   0.006,  15.000,  25.000,   0.000,  90.000,  90.000,    1,   0.000
14:15:25:185, 10051567307024,    0.565,   23.000,  800,   2.241,   2.475,   0.688,   0.812,   1.572,   0.437, 47,  0,   0.889,   0.615,   0.171,   0.013,   0.025,   0.007,  15.000,  25.000,   0.000,  90.000,  90.000,   31,   0.000
14:15:25:289, 10051816174510,    0.668,   37.000, 2700,   6.333,   3.132,   0.870,   4.446,   2.033,   0.565, 51,  0,   1.101,   0.729,   0.202,   0.367,   0.063,   0.017,  15.000,  25.000,   0.000,  90.000,  90.000,    6,   0.275
14:15:25:404, 10052092386388,    0.783,   79.000, 2700,  10.029,   4.286,   1.191,   8.268,   2.984,   0.829, 54,  0,   1.761,   0.932,   0.259,   0.015,   0.065,   0.018,  15.000,  25.000,   0.000,  90.000,  90.000,    2,   0.000
14:15:25:522, 10052375878679,    0.902,   68.000, 2700,  10.313,   5.504,   1.529,   8.155,   3.948,   1.097, 55,  0,   1.752,   1.138,   0.316,   0.489,   0.122,   0.034,  15.000,  25.000,   0.000,  90.000,  90.000,    1,   0.000
14:15:25:628, 10052631050278,    1.008,   72.000, 2700,   9.795,   6.546,   1.818,   8.122,   4.811,   1.336, 56,  0,   1.541,   1.302,   0.362,   0.063,   0.129,   0.036,  15.000,  25.000,   0.000,  90.000,  90.000,    7,   0.981
14:15:25:748, 10052919257102,    1.128,   24.000, 2300,   6.368,   7.311,   2.031,   4.814,   5.389,   1.497, 51,  0,   0.989,   1.421,   0.395,   0.013,   0.130,   0.036,  15.000,  25.000,   0.000,  90.000,  90.000,    2,   0.000
14:15:25:852, 10053167935807,    1.232,   38.000, 2700,   7.488,   8.086,   2.246,   5.869,   5.998,   1.666, 54,  0,   1.198,   1.545,   0.429,   0.029,   0.133,   0.037,  15.000,  25.000,   0.000,  90.000,  90.000,    1,   0.005
14:15:25:965, 10053439207956,    1.345,   46.000, 2700,   8.247,   9.019,   2.505,   6.557,   6.739,   1.872, 54,  0,   1.142,   1.674,   0.465,   0.104,   0.145,   0.040,  15.000,  25.000,   0.000,  90.000,  90.000,   15,   2.316
14:15:26:076, 10053705918844,    1.456,   24.000,  900,   3.641,   9.423,   2.618,   2.209,   6.984,   1.940, 49,  0,   0.910,   1.775,   0.493,   0.018,   0.147,   0.041,  15.000,  25.000,   0.000,  90.000,  90.000,   37,   0.000
14:15:26:181, 10053957663456,    1.561,   26.000, 2700,   5.250,   9.974,   2.771,   3.339,   7.334,   2.037, 52,  0,   1.026,   1.883,   0.523,   0.418,   0.191,   0.053,  15.000,  25.000,   0.000,  90.000,  90.000,    2,   0.000
14:15:26:292, 10054223145504,    1.671,   30.000, 2700,   8.381,  10.901,   3.028,   6.186,   8.019,   2.227, 53,  0,   1.115,   2.006,   0.557,   0.628,   0.261,   0.072,  15.000,  25.000,   0.000,  90.000,  90.000,    1,   0.000
14:15:26:413, 10054515258844,    1.793,   42.000, 2700,   8.780,  11.970,   3.325,   6.616,   8.824,   2.451, 55,  0,   1.209,   2.153,   0.598,   0.621,   0.336,   0.093,  15.000,  25.000,   0.000,  90.000,  90.000,    1,   0.000
14:15:26:520, 10054770354712,    1.899,   28.000, 2700,   8.089,  12.829,   3.564,   5.893,   9.450,   2.625, 55,  0,   1.023,   2.262,   0.628,   0.622,   0.402,   0.112,  15.000,  25.000,   0.000,  90.000,  90.000,    2,   0.000
14:15:26:630, 10055035221280,    2.010,    7.000, 1300,   3.672,  13.235,   3.676,   1.633,   9.630,   2.675, 49,  0,   0.840,   2.355,   0.654,   0.617,   0.470,   0.131,  15.000,  25.000,   0.000,  90.000,  90.000,    3,   0.000
14:15:26:750, 10055322907827,    2.130,    6.000, 1200,   2.409,  13.523,   3.756,   0.532,   9.694,   2.693, 47,  0,   0.745,   2.444,   0.679,   0.632,   0.546,   0.152,  15.000,  25.000,   0.000,  90.000,  90.000,   13,   0.000
14:15:26:846, 10055552860076,    2.225,    6.000, 1200,   2.622,  13.775,   3.826,   0.720,   9.763,   2.712, 47,  0,   0.752,   2.516,   0.699,   0.650,   0.609,   0.169,  15.000,  25.000,   0.000,  90.000,  90.000,    9,   0.006
14:15:26:966, 10055842316716,    2.346,   48.000, 2600,   4.283,  14.291,   3.970,   2.232,  10.032,   2.787, 49,  0,   0.953,   2.631,   0.731,   0.654,   0.687,   0.191,  15.000,  25.000,   0.000,  90.000,  90.000,    8,   1.000
14:15:27:078, 10056110290229,    2.458,   29.000, 2700,   8.169,  15.203,   4.223,   5.999,  10.702,   2.973, 53,  0,   1.053,   2.749,   0.764,   0.628,   0.758,   0.210,  15.000,  25.000,   0.000,  90.000,  90.000,    3,   0.190
14:15:27:182, 10056360627469,    2.562,   30.000, 2700,   8.178,  16.056,   4.460,   6.050,  11.333,   3.148, 53,  0,   1.030,   2.856,   0.793,   0.618,   0.822,   0.228,  15.000,  25.000,   0.000,  90.000,  90.000,    1,   0.000
14:15:27:294, 10056628506794,    2.674,   32.000, 2700,   8.343,  16.988,   4.719,   6.151,  12.020,   3.339, 56,  0,   1.089,   2.978,   0.827,   0.619,   0.891,   0.248,  15.000,  25.000,   0.000,  90.000,  90.000,    1,   0.000
14:15:27:398, 10056878911282,    2.778,    8.000, 1000,   3.577,  17.361,   4.822,   1.513,  12.178,   3.383, 49,  0,   0.834,   3.065,   0.851,   0.617,   0.956,   0.265,  15.000,  25.000,   0.000,  90.000,  90.000,   19,   0.000
14:15:27:510, 10057147971147,    2.890,    4.000,  900,   2.725,  17.666,   4.907,   0.819,  12.270,   3.408, 47,  0,   0.748,   3.148,   0.875,   0.661,   1.030,   0.286,  15.000,  25.000,   0.000,  90.000,  90.000,    7,   0.000
14:15:27:616, 10057401060258,    2.995,    9.000,  900,   2.591,  17.940,   4.983,   0.662,  12.339,   3.428, 47,  0,   0.805,   3.233,   0.898,   0.631,   1.096,   0.305,  15.000,  25.000,   0.000,  90.000,  90.000,   18,   0.000
14:15:27:725, 10057663581938,    3.105,    9.000,  900,   2.662,  18.231,   5.064,   0.739,  12.420,   3.450, 46,  0,   0.761,   3.316,   0.921,   0.665,   1.169,   0.325,  15.000,  25.000,   0.000,  90.000,  90.000,   28,   0.000
14:15:27:832, 10057921071916,    3.212,   11.000, 2700,   4.338,  18.696,   5.193,   2.228,  12.659,   3.517, 47,  0,   0.881,   3.411,   0.947,   0.687,   1.243,   0.345,  15.000,  25.000,   0.000,  90.000,  90.000,    2,   0.000
14:15:27:952, 10058207327714,    3.331,   26.000, 2700,   5.008,  19.293,   5.359,   2.854,  13.000,   3.611, 48,  0,   0.967,   3.526,   0.980,   0.649,   1.320,   0.367,  15.000,  25.000,   0.000,  90.000,  90.000,   11,   1.196
14:15:28:048, 10058439643456,    3.428,    5.000, 2300,   3.512,  19.633,   5.454,   1.417,  13.137,   3.649, 47,  0,   0.870,   3.610,   1.003,   0.622,   1.380,   0.383,  15.000,  25.000,   0.000,  90.000,  90.000,    1,   0.000
14:15:28:168, 10058727953226,    3.548,    5.000, 1100,   3.023,  19.997,   5.555,   1.016,  13.259,   3.683, 47,  0,   0.821,   3.709,   1.030,   0.621,   1.455,   0.404,  15.000,  25.000,   0.000,  90.000,  90.000,    5,   0.000
14:15:28:278, 10058991875611,    3.658,   18.000, 1000,   2.711,  20.295,   5.637,   0.779,  13.345,   3.707, 46,  0,   0.799,   3.797,   1.055,   0.638,   1.525,   0.424,  15.000,  25.000,   0.000,  90.000,  90.000,   21,   0.000
14:15:28:385, 10059247902181,    3.765,   13.000, 1100,   3.111,  20.627,   5.730,   1.004,  13.452,   3.737, 47,  0,   0.867,   3.889,   1.080,   0.672,   1.597,   0.444,  15.000,  25.000,   0.000,  90.000,  90.000,   16,   0.000
